epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70753,1.73709,3.24902,1.99195,0.00633,0.91667,0.26067,0.10748,1.64743,3.30295,2.32089,8.335e-05,8.335e-05,8.335e-05
2,3.01757,1.54684,3.14473,1.82565,0.00785,0.875,0.2926,0.11644,1.64716,3.10698,2.25194,0.000179739,0.000179739,0.000179739
3,4.29844,1.39675,2.55642,1.69485,0.01205,0.95833,0.34813,0.15534,1.52449,3.03966,2.05587,0.000272168,0.000272168,0.000272168
4,5.5301,1.30833,2.25209,1.6016,0.01151,0.91667,0.40172,0.20101,1.53223,2.934,2.13794,0.000360635,0.000360635,0.000360635
5,6.72557,1.30618,2.26174,1.57968,0.01536,0.91667,0.32096,0.17637,1.57188,3.12516,2.06499,0.000445142,0.000445142,0.000445142
6,7.92844,1.30232,1.93658,1.55238,0.32501,0.45833,0.33768,0.15745,1.95921,3.04795,2.29203,0.000525688,0.000525688,0.000525688
7,9.12499,1.31978,2.0146,1.60038,0.01821,0.83333,0.48855,0.26495,1.78853,2.88658,2.27258,0.000602274,0.000602274,0.000602274
8,10.3349,1.37976,1.91522,1.63162,0.62642,0.25,0.53904,0.26,1.84042,2.61543,2.34114,0.000674898,0.000674898,0.000674898
9,11.5612,1.29473,1.85736,1.58803,0.43694,0.33333,0.32857,0.16657,1.70754,2.40275,2.23887,0.000743562,0.000743562,0.000743562
10,12.7604,1.43174,1.9744,1.66872,0.26766,0.375,0.27049,0.10658,1.888,2.58608,2.38176,0.000808265,0.000808265,0.000808265
11,13.9862,1.44311,2.16135,1.70484,0.43522,0.29167,0.29685,0.12703,1.86902,2.52495,2.47888,0.000869007,0.000869007,0.000869007
12,15.3937,1.26634,1.63219,1.55926,0.30181,0.41667,0.2636,0.0921,2.165,2.64735,2.75689,0.000925788,0.000925788,0.000925788
13,16.8008,1.41954,1.79086,1.69482,0.32095,0.58333,0.34096,0.15396,1.82985,2.3754,2.53781,0.000978609,0.000978609,0.000978609
14,18.0369,1.45129,1.93831,1.64456,0.49086,0.64306,0.46725,0.17434,1.94221,2.28664,2.61042,0.00102747,0.00102747,0.00102747
15,19.2625,1.41336,1.69527,1.63171,0.57652,0.62401,0.57498,0.24235,1.87957,2.47684,2.44066,0.00107237,0.00107237,0.00107237
16,20.5013,1.46449,2.03169,1.87406,0.60186,0.56732,0.57443,0.25438,1.83643,2.0529,2.53252,0.00111331,0.00111331,0.00111331
17,21.8443,1.53213,1.894,1.73586,0.67053,0.625,0.64027,0.26032,1.91494,2.2915,2.65436,0.00113889,0.00113889,0.00113889
18,23.2981,1.42715,1.84717,1.6339,0.55424,0.57025,0.51396,0.21135,1.99585,2.22183,2.65722,0.00110589,0.00110589,0.00110589
19,24.7743,1.42805,1.90661,1.72243,0.66315,0.73856,0.64717,0.29457,1.86351,1.99217,2.49529,0.00107288,0.00107288,0.00107288
20,26.1755,1.43211,1.60839,1.64005,0.78935,0.5,0.59045,0.26514,2.03726,2.27312,2.82006,0.00103987,0.00103987,0.00103987
21,27.369,1.32705,1.68845,1.64421,0.58608,0.58333,0.59492,0.2359,1.98347,2.50648,2.6942,0.00100687,0.00100687,0.00100687
22,28.5616,1.40739,1.71007,1.66449,0.73223,0.70833,0.69855,0.3555,1.73106,2.14653,2.27136,0.000973861,0.000973861,0.000973861
23,29.959,1.37307,1.56837,1.7211,0.80982,0.75,0.72937,0.3527,1.71651,2.10541,2.26877,0.000940855,0.000940855,0.000940855
24,31.2011,1.28191,1.53757,1.54496,0.64976,0.625,0.5641,0.27735,1.89338,2.57022,2.47107,0.000907848,0.000907848,0.000907848
25,32.4121,1.22872,1.40532,1.48062,0.56603,0.66667,0.53899,0.22232,1.96927,2.71425,2.55605,0.000874842,0.000874842,0.000874842
26,33.6313,1.35504,1.49896,1.59882,0.61342,0.625,0.59733,0.31721,1.73242,2.56086,2.27594,0.000841835,0.000841835,0.000841835
27,34.8332,1.17495,1.35751,1.47913,0.8583,0.58333,0.65952,0.3601,1.66568,2.28145,2.18071,0.000808828,0.000808828,0.000808828
28,35.9999,1.40954,1.58372,1.66212,0.86699,0.54167,0.66855,0.30929,1.67839,2.07538,2.23109,0.000775822,0.000775822,0.000775822
29,37.2376,1.23621,1.35608,1.48951,0.84791,0.58333,0.66667,0.28083,1.80422,1.99794,2.36108,0.000742815,0.000742815,0.000742815
30,38.4035,1.12342,1.35962,1.4803,0.76622,0.45833,0.56191,0.27223,1.84863,1.98183,2.40665,0.000709809,0.000709809,0.000709809
31,39.6079,1.24155,1.43067,1.4991,0.59835,0.66667,0.61457,0.32223,1.91735,1.83218,2.32987,0.000676802,0.000676802,0.000676802
32,40.792,1.1611,1.33508,1.49833,0.83253,0.625,0.64041,0.30925,2.07045,1.93456,2.48106,0.000643795,0.000643795,0.000643795
33,42.0755,1.23224,1.4171,1.50634,0.81428,0.54838,0.6129,0.30145,2.0897,1.8941,2.4558,0.000610789,0.000610789,0.000610789
34,43.3527,1.16504,1.24951,1.43941,0.70425,0.70833,0.61725,0.28051,2.03943,1.7949,2.32309,0.000577782,0.000577782,0.000577782
35,44.6743,1.15511,1.2125,1.52178,0.85308,0.75,0.67915,0.30246,2.04425,1.60107,2.34663,0.000544776,0.000544776,0.000544776
36,45.9171,1.15205,1.2606,1.50979,0.7437,0.66667,0.61856,0.29137,2.12381,1.62708,2.4778,0.000511769,0.000511769,0.000511769
37,47.0866,1.18873,1.34121,1.50717,0.62112,0.5,0.47723,0.25746,2.20485,1.70529,2.63011,0.000478762,0.000478762,0.000478762
38,48.2701,0.98087,1.08734,1.30145,0.67275,0.54167,0.5335,0.24889,2.0902,1.87996,2.63344,0.000445756,0.000445756,0.000445756
