epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8306,1.62783,4.01729,1.37767,0.00704,0.4,0.00502,0.00365,1.57913,4.45812,1.0338,0.00036674,0.00036674,0.00036674
2,14.7278,1.4838,2.81753,1.23091,0.00311,0.2,0.00191,0.00076,2.31282,4.26794,1.33383,0.000748665,0.000748665,0.000748665
3,21.5972,1.49266,2.67327,1.22143,0.00299,0.2,0.06621,0.02016,2.12052,4.45527,1.41575,0.00112907,0.00112907,0.00112907
4,28.5597,1.48391,2.54414,1.25187,0.00312,0.2,0.02912,0.01165,2.48331,4.20551,1.75182,0.00150796,0.00150796,0.00150796
5,35.4685,1.4005,2.31829,1.26501,0.00683,0.4,0.1998,0.13849,2.1456,4.13656,1.24614,0.0016538,0.0016538,0.0016538
6,42.4342,1.42703,2.50151,1.26953,0.96257,0.2,0.23025,0.08479,2.60478,5.96574,1.71266,0.0016505,0.0016505,0.0016505
7,49.3558,1.46716,2.22068,1.27055,0.95256,0.2,0.26017,0.16417,2.3825,7.03294,1.46639,0.0016472,0.0016472,0.0016472
8,56.3141,1.46445,2.33945,1.33217,0.96866,0.2,0.26381,0.14488,2.11848,5.09552,1.31068,0.0016439,0.0016439,0.0016439
9,63.2069,1.49639,2.01819,1.27151,1,0.39918,0.39744,0.18656,2.19322,5.83347,1.32418,0.00164059,0.00164059,0.00164059
10,70.1931,1.45937,1.98001,1.26519,0.99573,0.4,0.39713,0.18339,2.35501,3.16271,1.39706,0.00163729,0.00163729,0.00163729
11,77.0875,1.33382,1.74719,1.21163,1,0.38864,0.397,0.16207,2.22434,2.7391,1.31622,0.00163399,0.00163399,0.00163399
12,83.9854,1.43158,1.73385,1.24858,0.89759,0.2,0.23108,0.0762,2.20134,3.88107,1.5338,0.00163069,0.00163069,0.00163069
13,90.8918,1.4058,1.78847,1.23547,0.92916,0.2,0.26375,0.17789,2.36682,3.70137,1.34818,0.00162739,0.00162739,0.00162739
14,97.8205,1.35648,1.72897,1.22869,0.62163,0.4,0.35553,0.17755,2.23092,2.65857,1.38805,0.00162409,0.00162409,0.00162409
15,104.785,1.44144,1.69755,1.26804,1,0.38324,0.40106,0.18481,2.27141,2.76614,1.3529,0.00162079,0.00162079,0.00162079
16,111.732,1.38902,1.61938,1.24852,0.45349,0.4,0.30343,0.18426,1.94714,2.80794,1.22903,0.00161749,0.00161749,0.00161749
17,118.624,1.41393,1.50993,1.28956,0.95401,0.4,0.4008,0.18391,2.0108,2.75008,1.1913,0.00161419,0.00161419,0.00161419
